EncuestaID,FechaEncuesta,HoraEncuesta,RangoEdad,Genero,Departamento,Municipio,Ocupacion,FrecuenciaConsumoSnacks,LugarCompraSnacks,ConQuienVePartidos,GastoSnacksPartido,SnacksSeleccionados,SaborPreferido,PresentacionPreferida,PrecioAdecuado,PagaMasEdicionMundial,PlaneaVerMundial2026,SeleccionApoya,CompraDisenoSeleccion,SeleccionInfluyeCompra,JugadoresInfluyentes,TipoPublicidadAtractiva,PromocionPreferida,CompraTarjetasColeccionables,CampaniaMasProbableCompra
302,2026-04-28,15:06:40,45 - 54 años,Femenino,Guatemala,San Miguel Petapa,Empleado privado,1 a 2 veces por semana,Supermercado,Amigos,Q25 - Q50,FutbolMix; Hot Stadium Peanuts; Caramel Goal Popcorn,Dulce,Para compartir entre 2 personas,Q21 - Q30,No,No,Brasil,Definitivamente sí,España,Neymar Jr.,Premios y sorteos,Sorteo de viajes,No,Edición Argentina
303,2026-01-15,11:03:19,25 - 34 años,Femenino,Guatemala,Villa Nueva,Empleado privado,3 a 5 veces por semana,Supermercado,Amigos,Q51 - Q100,Victory Pretzels; Mundialitos Queso Picante; FutbolMix,Queso,Individual,Q16 - Q20,No,Sí,Francia,Definitivamente sí,México,Jude Bellingham,Un jugador famoso,Tarjetas coleccionables,Sí,Edición Brasil
304,2026-03-18,15:51:13,45 - 54 años,Prefiero no indicarlo,Guatemala,Guatemala,Empleado privado,3 a 5 veces por semana,Supermercado,Familia,Q25 - Q50,Hot Stadium Peanuts; Caramel Goal Popcorn,Jalapeño,Individual,Q16 - Q20,No,Sí,Argentina,Tal vez,España,Alphonso Davies; Vinícius Júnior; Kylian Mbappé,Una selección nacional,2x1,Sí,Edición Mundial FIFA 2026
305,2026-04-19,09:23:45,18 - 24 años,Masculino, GUATEMALA ,Santa Catarina Pinula,Empleado público,Rara vez,Tienda de barrio,Solo,Q51 - Q100,ChocoKick Bites; Gol Nachos Supreme,Limón,Individual,Q10 - Q15,Sí,Sí,México,Tal vez,Panamá,Neymar Jr.,Historias de aficionados,Sorteo de viajes,Sí,Edición con tarjetas coleccionables
306,2026-01-17,18:10:26,18 - 24 años,Femenino,Chiquimula,Otro municipio,Empleado público,3 a 5 veces por semana,Supermercado,Familia,Q51 - Q100,Mundialitos Queso Picante; CrunchMax BBQ; Hot Stadium Peanuts,Picante Chapín,Para compartir entre 2 personas,Menos de Q10,Sí,Sí,Argentina,Probablemente sí,Brasil,Harry Kane; Cristiano Ronaldo,Historias de aficionados,Tarjetas coleccionables,No,Edición Brasil
307,2026-01-31,12:04:25,35 - 44 años,Masculino,Quetzaltenango,Quetzaltenango,Empleado privado,1 a 2 veces por semana,Supermercado,Solo,Q51 - Q100,Fan Chips Jalapeño; Energy Crunch Protein,Picante Chapín,Familiar,Q10 - Q15,Sí,No,Uruguay,Probablemente no,Francia,Cristiano Ronaldo,Un jugador famoso,2x1,Sí,Edición Brasil
308,2026-02-01,09:38:12,Menos de 18 años,Masculino,Guatemala,San Miguel Petapa,Jubilado,Todos los días,Gasolinera,Familia,Q51 - Q100,Mundialitos Queso Picante; ChocoKick Bites; Fan Chips Jalapeño,Picante Chapín,Para compartir entre 2 personas,Menos de Q10,No,Sí,Uruguay,Definitivamente sí,México,Lamine Yamal; Vinícius Júnior,Humor,Tarjetas coleccionables,Sí,Edición con tarjetas coleccionables
309,2026-04-23,12:59:56,18 - 24 años,Femenino,Quetzaltenango,Olintepeque,Empleado privado,3 a 5 veces por semana,Tienda de barrio,Amigos,Q51 - Q100,FutbolMix; Caramel Goal Popcorn; Energy Crunch Protein,Dulce,Familiar,Q21 - Q30,Sí,Sí, BRASIL ,Tal vez,Portugal,Cristiano Ronaldo; Vinícius Júnior,Un jugador famoso,Descuento directo,Sí,Edición Inglaterra
310,2026-01-14,20:01:11,55 años o más,Femenino,Guatemala,Santa Catarina Pinula,Empleado privado,Rara vez,Supermercado,Solo,Q101 - Q150,Fan Chips Jalapeño,Dulce,Individual,Q16 - Q20,Sí,Sí,Estados Unidos,Probablemente sí,Brasil,Lionel Messi; Harry Kane,Premios y sorteos,Tarjetas coleccionables,Sí,Edición Argentina
311,2026-04-01,22:00:29,Menos de 18 años,Femenino,Baja Verapaz,Baja Verapaz,Empleado privado,1 a 2 veces por semana,Tienda de barrio,Amigos,Menos de Q25,Hot Stadium Peanuts; FutbolMix,Queso,Tamaño fiesta o reunión,Q10 - Q15,Sí,Sí,Uruguay,Probablemente sí,Argentina,Jude Bellingham,Una selección nacional,2x1,Sí,Edición España
312,2026-01-29,18:28:33,Menos de 18 años,Femenino,Guatemala,Guatemala,Comerciante,Varias veces al mes,Gasolinera,Familia,Menos de Q25,ChocoKick Bites; Caramel Goal Popcorn,Barbacoa,Individual,Q10 - Q15,No,Sí,México,Tal vez,Portugal,Lionel Messi; Neymar Jr.,Premios y sorteos,2x1,Sí,Edición Argentina
313,2026-02-05,08:27:57,18 - 24 años,Femenino,Quiché,Cabecera municipal,Empleado privado,Rara vez,Kiosco escolar/universitario,Solo,Q51 - Q100,Gol Nachos Supreme; FutbolMix; CrunchMax BBQ,Barbacoa,Para compartir entre 2 personas,Q21 - Q30,No,No,Brasil,Probablemente sí,Portugal,Vinícius Júnior,Humor,Producto gratis,Sí,Edición con tarjetas coleccionables
314,2026-03-26,07:53:56,25 - 34 años,Masculino,Jalapa,Cabecera municipal,Ama de casa,Todos los días,Gasolinera,Familia,Q101 - Q150,Caramel Goal Popcorn; Hot Stadium Peanuts; Fan Chips Jalapeño,Picante Chapín,Familiar,Q10 - Q15,Sí,Sí,Francia,Probablemente sí,Francia,Neymar Jr.; Cristiano Ronaldo,Un jugador famoso,Tarjetas coleccionables,Sí,Edición Brasil
315,2026-01-21,09:05:13,35 - 44 años,Femenino,Guatemala,Santa Catarina Pinula,Comerciante,3 a 5 veces por semana,Aplicación de delivery,Amigos,Q51 - Q100,FutbolMix; Fan Chips Jalapeño; CrunchMax BBQ,Picante Chapín,Tamaño fiesta o reunión,Q16 - Q20,Sí,Sí,Argentina,Probablemente no,Curaçao,Harry Kane; Vinícius Júnior; Lamine Yamal,Un jugador famoso,Descuento directo,Sí,Edición con jugadores famosos
316,2026-02-09,15:21:12,45 - 54 años,Masculino,Guatemala,Guatemala,Empleado público,Todos los días,Otro,Amigos,Q25 - Q50,Victory Pretzels; Fan Chips Jalapeño; Mundialitos Queso Picante,Picante Chapín,Para compartir entre 2 personas,Q16 - Q20,No,Sí,México,Definitivamente sí,Francia,Lionel Messi; Kylian Mbappé,Premios y sorteos,2x1,No,Edición con tarjetas coleccionables
317,2026-03-08,17:47:33,25 - 34 años,Masculino,Baja Verapaz,Baja Verapaz,Ama de casa,Rara vez,Tienda de barrio,Amigos,Q25 - Q50,Caramel Goal Popcorn; ChocoKick Bites,Salado Tradicional,Para compartir entre 2 personas,Más de Q30,Sí,No,Croacia,Tal vez,,Lionel Messi; Kylian Mbappé,Una selección nacional,2x1,Sí,Edición con tarjetas coleccionables
318,2026-04-16,13:05:41,18 - 24 años,Femenino,Quetzaltenango,Quetzaltenango,Empleado privado,1 a 2 veces por semana,Supermercado,Amigos,Menos de Q25,Mundialitos Queso Picante,Queso,Para compartir entre 2 personas,Q16 - Q20,Sí,No,Alemania,Definitivamente sí,Brasil,Lionel Messi; Jude Bellingham; Vinícius Júnior,Una selección nacional,Descuento directo,No,Edición con tarjetas coleccionables
319,2026-01-29,11:47:46,25 - 34 años,Femenino,Guatemala,Mixco,Empleado privado,Varias veces al mes,Tienda de barrio,Amigos,Q101 - Q150,Gol Nachos Supreme,Chocolate,Individual,Menos de Q10,No,Sí,México,Probablemente sí,Francia,Lionel Messi,Historias de aficionados,Sorteo de camisetas,Sí,Edición Brasil
320,2026-02-04,10:39:13,25 - 34 años,Masculino,Totonicapán,Otro municipio,Ama de casa,1 a 2 veces por semana,Tienda de barrio,Amigos,Q25 - Q50,Caramel Goal Popcorn; Gol Nachos Supreme; ChocoKick Bites,Barbacoa,Familiar,Q16 - Q20,No,Sí,Argentina,Probablemente no,Brasil,Lionel Messi; Federico Valverde,Un jugador famoso,Descuento directo,No,Edición Mundial FIFA 2026
321,2026-02-08,22:49:57,25 - 34 años,Masculino,Suchitepéquez,Cabecera municipal,Empleado privado,3 a 5 veces por semana,Supermercado,Amigos,Q101 - Q150,FutbolMix,Limón,Para compartir entre 2 personas,Q10 - Q15,No,Sí,Francia,Probablemente sí,Francia,Lionel Messi; Cristiano Ronaldo,Historias de aficionados,Tarjetas coleccionables,No,Edición con tarjetas coleccionables
322,2026-04-09,12:40:23,Menos de 18 años,Masculino,Guatemala,Villa Nueva,Empleado público,3 a 5 veces por semana,Gasolinera,Familia,Q101 - Q150,Energy Crunch Protein; Fan Chips Jalapeño,Picante Chapín,Tamaño fiesta o reunión,Q16 - Q20,Sí,Sí,Portugal,Probablemente sí,Argentina,Vinícius Júnior; Ninguno; Jude Bellingham,Historias de aficionados,Tarjetas coleccionables,Sí,Edición Brasil
323,2026-04-12,22:02:54,35 - 44 años,Femenino,Guatemala,Villa Nueva,Comerciante,1 a 2 veces por semana,Aplicación de delivery,Solo,Q25 - Q50,Hot Stadium Peanuts; Caramel Goal Popcorn,Salado Tradicional,Para compartir entre 2 personas,Más de Q30,No,No,Argentina,Definitivamente sí,Uzbekistán,Neymar Jr.; Harry Kane; Lamine Yamal,Un jugador famoso,Producto gratis,No,Edición España
324,2026-02-09,07:16:47,45 - 54 años,Femenino,Chimaltenango,Chimaltenango,,1 a 2 veces por semana,Supermercado,Amigos,Q101 - Q150,Gol Nachos Supreme,Salado Tradicional,Individual,Q16 - Q20,Sí,Sí,Brasil,Probablemente sí,Argentina,Harry Kane,Un jugador famoso,Descuento directo,Sí,Edición con jugadores famosos
325,2026-03-22,11:45:22,25 - 34 años,Masculino,San Marcos,Otro municipio,Jubilado,3 a 5 veces por semana,Otro,Familia,Q51 - Q100,Hot Stadium Peanuts; FutbolMix; Energy Crunch Protein,Jalapeño,Para compartir entre 2 personas,Q16 - Q20,Sí,Sí,Argentina,Definitivamente sí,Uruguay,Cristiano Ronaldo; Lionel Messi,Premios y sorteos,Tarjetas coleccionables,Sí,Edición España
326,2026-05-10,22:11:45,25 - 34 años,Masculino,Baja Verapaz,Cabecera municipal,Profesional independiente,Varias veces al mes,Gasolinera,Familia,Q51 - Q100,Energy Crunch Protein; Mundialitos Queso Picante; Caramel Goal Popcorn,Queso,Para compartir entre 2 personas,Q16 - Q20,No,Sí,Alemania,Probablemente sí,Argentina,Vinícius Júnior; Cristiano Ronaldo; Christian Pulisic,Premios y sorteos,Producto gratis,Sí,Edición Brasil
327,2026-02-24,14:37:04,25 - 34 años,Masculino,Guatemala,San Miguel Petapa,Empleado privado,1 a 2 veces por semana,Kiosco escolar/universitario,Solo,Q25 - Q50,ChocoKick Bites,Caramelo,Tamaño fiesta o reunión,Q16 - Q20,Sí,No,Francia,Tal vez,Brasil,Neymar Jr.; Julián Álvarez; Lamine Yamal,Un jugador famoso,Sorteo de camisetas,Sí,Edición con tarjetas coleccionables
328,2026-03-16,17:08:19,Menos de 18 años,Masculino,Chimaltenango,Tecpán Guatemala,Estudiante,1 a 2 veces por semana,Tienda de barrio,Familia,Q51 - Q100,Mundialitos Queso Picante; Fan Chips Jalapeño; ChocoKick Bites,Queso,Para compartir entre 2 personas,Q21 - Q30,Sí,Sí,Brasil,Tal vez,Corea del Sur,Lionel Messi; Federico Valverde,Premios y sorteos,Tarjetas coleccionables,No,Edición Mundial FIFA 2026
329,2026-03-28,15:09:27,35 - 44 años,Masculino,Petén,Poptún,Empleado privado,Rara vez,Aplicación de delivery,Amigos,Q25 - Q50,Energy Crunch Protein; Fan Chips Jalapeño,Picante Chapín,Familiar,Menos de Q10,Sí,Sí,Argentina,Definitivamente no,México,Vinícius Júnior; Harry Kane; Kylian Mbappé,Historias de aficionados,Sorteo de balones,Sí,Edición Mundial FIFA 2026
330,2026-01-25,20:12:55,45 - 54 años,Femenino,Guatemala,Villa Nueva,Empresario,Rara vez,Gasolinera,Familia,Menos de Q25,CrunchMax BBQ; FutbolMix; Hot Stadium Peanuts,Jalapeño,Para compartir entre 2 personas,Q21 - Q30,No,No,Curaçao,Definitivamente sí,México,Kylian Mbappé; Jude Bellingham,Premios y sorteos,Tarjetas coleccionables,Sí,Edición Brasil
331,2026-02-15,08:57:52,35 - 44 años,Masculino,Quetzaltenango,Coatepeque,Ama de casa,1 a 2 veces por semana,Tienda de barrio,Familia,Menos de Q25,Mundialitos Queso Picante; Caramel Goal Popcorn; Gol Nachos Supreme,Salado Tradicional,Tamaño fiesta o reunión,Q10 - Q15,No,Sí,Portugal,Definitivamente sí,Estados Unidos,Kylian Mbappé,Historias de aficionados,Descuento directo,Sí,Edición Brasil
332,2026-02-05,12:55:02,25 - 34 años,Femenino,Chimaltenango,Chimaltenango,Profesional independiente,1 a 2 veces por semana,Tienda de barrio,Familia,Q51 - Q100,FutbolMix; Mundialitos Queso Picante; Gol Nachos Supreme,Barbacoa,Individual,Q21 - Q30,Sí,Sí,España,Tal vez,Colombia,Lionel Messi; Cristiano Ronaldo,Un jugador famoso,2x1,Sí,Edición con jugadores famosos
333,2026-02-17,21:56:37,18 - 24 años,Masculino,Guatemala,Mixco,Empleado público,Varias veces al mes,Supermercado,Familia,Q25 - Q50,Mundialitos Queso Picante,Jalapeño,Tamaño fiesta o reunión,Q10 - Q15,Sí,Sí,México,Definitivamente sí,Alemania,Cristiano Ronaldo,Historias de aficionados,Sorteo de camisetas,No,Edición Mundial FIFA 2026
334,2026-05-01,18:54:05,45 - 54 años,Femenino,Guatemala,Guatemala,Comerciante,Varias veces al mes,Otro,Amigos,Q25 - Q50,Hot Stadium Peanuts; ChocoKick Bites,Dulce,Familiar,Q16 - Q20,Sí,Sí,Francia,Tal vez,Uruguay,Vinícius Júnior; Julián Álvarez,Historias de aficionados,Descuento directo,No,Edición Brasil
335,2026-04-22,15:11:45,35 - 44 años,Masculino,Petén,Flores,Empleado privado,Todos los días,Kiosco escolar/universitario,Amigos,Q25 - Q50,ChocoKick Bites; Gol Nachos Supreme; Caramel Goal Popcorn,Queso,Para compartir entre 2 personas,Q16 - Q20,Sí,Sí,México,Probablemente no,,Lamine Yamal; Jude Bellingham,Un jugador famoso,Tarjetas coleccionables,No,Edición con tarjetas coleccionables
336,2026-05-02,16:43:32,Menos de 18 años,Femenino,Totonicapán,Totonicapán,Profesional independiente,1 a 2 veces por semana,Supermercado,Solo,Q25 - Q50,CrunchMax BBQ,Barbacoa,Individual,Q10 - Q15,No,Sí,Portugal,Definitivamente sí,Portugal,Lamine Yamal; Christian Pulisic,Una selección nacional,Sorteo de balones,No,Edición Mundial FIFA 2026
337,2026-01-17,12:01:06,55 años o más,Masculino,Escuintla,,Empleado público,1 a 2 veces por semana,Supermercado,Solo,Q25 - Q50,Fan Chips Jalapeño,Picante Chapín,Para compartir entre 2 personas,Q16 - Q20,No,Sí,Colombia,Probablemente sí,Argentina,Neymar Jr.; Lionel Messi; Kylian Mbappé,Un jugador famoso,Descuento directo,Sí,Edición Mundial FIFA 2026
338,2026-02-26,14:03:07,25 - 34 años,Femenino,Alta Verapaz,Otro municipio,Empresario,1 a 2 veces por semana,Supermercado,Familia,Q25 - Q50,Fan Chips Jalapeño,Queso,Familiar,Q10 - Q15,No,Sí,Argentina,Definitivamente sí,España,Vinícius Júnior; Cristiano Ronaldo,Historias de aficionados,Sorteo de balones,No,Edición Inglaterra
339,2026-04-02,18:18:16,25 - 34 años,Masculino,Jalapa,Jalapa,Comerciante,Todos los días,Supermercado,Familia,Q25 - Q50,FutbolMix; CrunchMax BBQ; Hot Stadium Peanuts,Jalapeño,Familiar,Q16 - Q20,Sí,Sí,Brasil,Definitivamente no,España,Cristiano Ronaldo; Julián Álvarez; Kylian Mbappé,Una selección nacional,Producto gratis,Sí,Edición con jugadores famosos
340,2026-02-04,17:50:17,25 - 34 años,Masculino,Chimaltenango,Patzún,Empleado público,3 a 5 veces por semana,Kiosco escolar/universitario,Amigos,Q51 - Q100,Gol Nachos Supreme,Barbacoa,Tamaño fiesta o reunión,Q10 - Q15,Sí,No,Alemania,Tal vez,Estados Unidos,Cristiano Ronaldo,Un jugador famoso,2x1,Sí,Edición Argentina
341,2026-02-28,17:10:40,25 - 34 años,Masculino,Baja Verapaz,,Empleado privado,Rara vez,Supermercado,Compañeros de trabajo,Más de Q150,Mundialitos Queso Picante; Gol Nachos Supreme,Picante Chapín,Individual,Q21 - Q30,Sí,Sí,Argentina,Probablemente sí,España,Lionel Messi; Ninguno,Una selección nacional,2x1,No,Edición Francia
342,2026-02-16,16:17:44,35 - 44 años,Masculino,Sololá,Cabecera municipal,Profesional independiente,3 a 5 veces por semana,Supermercado,Amigos,Q51 - Q100,FutbolMix,Picante Chapín,Individual,Q21 - Q30,Sí,Sí,Argentina,Tal vez,Argentina,Cristiano Ronaldo,Una selección nacional,Sorteo de camisetas,Sí,Edición con jugadores famosos
343,2026-04-07,15:50:10,45 - 54 años,Masculino,Santa Rosa,Santa Rosa,Empleado privado,Todos los días,Tienda de barrio,Familia,Q51 - Q100,Victory Pretzels; CrunchMax BBQ,Jalapeño,Familiar,Q10 - Q15,Sí,No,Alemania,Definitivamente sí,España,Kylian Mbappé; Cristiano Ronaldo; Vinícius Júnior,Una selección nacional,Descuento directo,Sí,Edición con tarjetas coleccionables
344,2026-04-07,09:09:14,25 - 34 años,Femenino,Sacatepéquez,Antigua Guatemala,Profesional independiente,Varias veces al mes,Tienda de barrio,Amigos,Q51 - Q100,FutbolMix,Dulce,Familiar,,No,Sí,México,Probablemente sí,Brasil,Kylian Mbappé,Historias de aficionados,Tarjetas coleccionables,No,Edición Brasil
345,2026-03-04,13:58:34,18 - 24 años,Femenino,Guatemala,Guatemala,Comerciante,Todos los días,Gasolinera,Familia,Q25 - Q50,Gol Nachos Supreme; Caramel Goal Popcorn,Jalapeño,Para compartir entre 2 personas,Menos de Q10,Sí,Sí,Brasil,Definitivamente sí,España,Rodri; Alphonso Davies,Una selección nacional,Tarjetas coleccionables,Sí,Edición Argentina
346,2026-02-09,17:18:20,45 - 54 años,Femenino,Sololá,Cabecera municipal,Profesional independiente,Todos los días,Supermercado,Compañeros de trabajo,Menos de Q25,Hot Stadium Peanuts; Mundialitos Queso Picante; Victory Pretzels,Barbacoa,Individual,Q10 - Q15,Sí,Sí,Inglaterra,Probablemente sí,Argentina,Lionel Messi,Historias de aficionados,2x1,Sí,Edición Brasil
347,2026-01-28,07:31:10,18 - 24 años,Femenino,Guatemala,San Miguel Petapa,Empleado privado,Varias veces al mes,Tienda de barrio,Familia,Menos de Q25,Mundialitos Queso Picante; CrunchMax BBQ; Fan Chips Jalapeño,Picante Chapín,Individual,Q16 - Q20,Sí,Sí,Argentina,Tal vez,Brasil,Christian Pulisic,Una selección nacional,Descuento directo,Sí,Edición Argentina
348,2026-03-13,12:32:12,18 - 24 años,Masculino,Guatemala,Mixco,Empleado privado,Todos los días,Tienda de barrio,Familia,Menos de Q25,Fan Chips Jalapeño,Queso,Para compartir entre 2 personas,Q21 - Q30,Sí,Sí,Estados Unidos,Probablemente no,Estados Unidos,Cristiano Ronaldo,Una selección nacional,Tarjetas coleccionables,Sí,Edición Brasil
1960,2026-01-19,13:17:45,18 - 24 años,Femenino,Guatemala,Villa Nueva,Empleado privado,3 a 5 veces por semana,Supermercado,Familia,Más de Q150,FutbolMix; Gol Nachos Supreme; Energy Crunch Protein,Jalapeño,Tamaño fiesta o reunión,Más de Q30,No,Sí,Brasil,Probablemente sí,Cabo Verde,Julián Álvarez,Una selección nacional,2x1,No,Edición Mundial FIFA 2026
350,2026-03-28,18:34:11,35 - 44 años,Femenino,Santa Rosa,Cabecera municipal,Empleado privado,1 a 2 veces por semana,Gasolinera,Amigos,Q51 - Q100,Caramel Goal Popcorn; Gol Nachos Supreme; FutbolMix,Barbacoa,Familiar,Q10 - Q15,Sí,Sí,Argentina,Tal vez,Colombia,Cristiano Ronaldo; Neymar Jr.; Lionel Messi,Humor,Producto gratis,Sí,Edición Brasil
351,2026-05-08,14:04:00,18 - 24 años,Femenino,Guatemala,Santa Catarina Pinula,Empleado privado,1 a 2 veces por semana,Gasolinera,Amigos,Q51 - Q100,Fan Chips Jalapeño; ChocoKick Bites,Limón,Familiar,Q16 - Q20,Sí,Sí,Japón,Tal vez,Argentina,Lamine Yamal; Cristiano Ronaldo; Julián Álvarez,Una selección nacional,2x1,No,Edición Mundial FIFA 2026
352,2026-03-29,12:26:42,25 - 34 años,Masculino,Guatemala,Mixco,Empleado privado,1 a 2 veces por semana,Gasolinera,Familia,Q101 - Q150,Mundialitos Queso Picante; FutbolMix,Limón,Familiar,Q21 - Q30,No,Sí,Portugal,Tal vez,Francia,Alphonso Davies; Christian Pulisic; Cristiano Ronaldo,Un jugador famoso,Producto gratis,No,Edición Mundial FIFA 2026
353,2026-02-01,13:07:06,18 - 24 años,Masculino,San Marcos,Otro municipio,Profesional independiente,1 a 2 veces por semana,Tienda de barrio,Amigos,Q101 - Q150,ChocoKick Bites; FutbolMix,Jalapeño,Para compartir entre 2 personas,Q10 - Q15,Sí,Sí,Brasil,Probablemente sí, ARGENTINA ,Harry Kane; Lionel Messi; Lamine Yamal,Un jugador famoso,Descuento directo,Sí,Edición con jugadores famosos
354,2026-05-10,20:10:19,18 - 24 años,Femenino,Escuintla,Palín,Ama de casa,Todos los días,Tienda de barrio,Familia,Q25 - Q50,Mundialitos Queso Picante; Gol Nachos Supreme; Caramel Goal Popcorn,Barbacoa,Para compartir entre 2 personas,Q16 - Q20,Sí,Sí,España,Definitivamente sí,Brasil,Cristiano Ronaldo,Historias de aficionados,2x1,No,Edición con jugadores famosos
355,2026-04-22,15:08:38,35 - 44 años,Masculino,Guatemala,Guatemala,Otro,3 a 5 veces por semana,Tienda de barrio,Familia,Q51 - Q100,ChocoKick Bites; FutbolMix,Limón,Tamaño fiesta o reunión,Q21 - Q30,Sí,Sí,Brasil,Definitivamente sí,Francia,Neymar Jr.; Lionel Messi; Vinícius Júnior,Historias de aficionados,Tarjetas coleccionables,Sí,Edición Francia
356,2026-05-03,08:38:29,25 - 34 años,Masculino,Sacatepéquez,Jocotenango,Estudiante,Varias veces al mes,Tienda de barrio,Familia,Q25 - Q50,Hot Stadium Peanuts; Victory Pretzels; Fan Chips Jalapeño,Chocolate,Tamaño fiesta o reunión,Q10 - Q15,No,Sí,Brasil,Probablemente sí,Francia,Neymar Jr.; Vinícius Júnior; Cristiano Ronaldo,Premios y sorteos,2x1,No,Edición España
357,2026-03-21,10:30:37,18 - 24 años,Femenino,Sacatepéquez,Antigua Guatemala,Empleado privado,Varias veces al mes,Gasolinera,Solo,Q101 - Q150,Gol Nachos Supreme,Queso,Para compartir entre 2 personas,Q16 - Q20,Sí,Sí,España,Definitivamente sí,Argentina,Cristiano Ronaldo; Federico Valverde,Un jugador famoso,2x1,No,Edición con tarjetas coleccionables
358,2026-01-23,22:32:30,25 - 34 años,Femenino,Izabal,Izabal,Estudiante,3 a 5 veces por semana,Supermercado,Amigos,Q51 - Q100,Caramel Goal Popcorn; FutbolMix; Mundialitos Queso Picante,Jalapeño,Individual,Q21 - Q30,Sí,Sí,Brasil,Probablemente sí,Brasil,Kylian Mbappé; Lionel Messi; Cristiano Ronaldo,Una selección nacional,Tarjetas coleccionables,No,Edición Inglaterra
359,2026-04-10,20:21:01,25 - 34 años,Femenino,Guatemala,Villa Nueva,Otro,Todos los días,Gasolinera,Amigos,Más de Q150,Fan Chips Jalapeño; CrunchMax BBQ,Queso,Familiar,Q10 - Q15,Sí,Sí,Czechia,Definitivamente sí,Portugal,Lionel Messi; Julián Álvarez; Cristiano Ronaldo,Un jugador famoso,2x1,Sí,Edición Mundial FIFA 2026
360,2026-04-19,19:22:39,55 años o más,Prefiero no indicarlo,Sacatepéquez,Ciudad Vieja,Estudiante,Varias veces al mes,Supermercado,Amigos,Menos de Q25,ChocoKick Bites; CrunchMax BBQ; Caramel Goal Popcorn,Dulce,Para compartir entre 2 personas,Q16 - Q20,No,Sí,España,Probablemente sí,México,Lionel Messi; Jude Bellingham; Vinícius Júnior,Historias de aficionados,Tarjetas coleccionables,No,Edición Mundial FIFA 2026
361,2026-04-05,15:49:15,45 - 54 años,Femenino,Guatemala,Santa Catarina Pinula,Empleado público,1 a 2 veces por semana,Otro,Familia,Q25 - Q50,Fan Chips Jalapeño,Queso,Para compartir entre 2 personas,Q21 - Q30,Sí,Sí,Francia,Definitivamente sí,México,Lamine Yamal,Un jugador famoso,Sorteo de camisetas,No,Edición con jugadores famosos
362,2026-02-16,10:25:29,Menos de 18 años,Masculino,Escuintla,Escuintla,Ama de casa,3 a 5 veces por semana,Aplicación de delivery,Amigos,Q51 - Q100,Mundialitos Queso Picante; Fan Chips Jalapeño,Picante Chapín,Individual,Q10 - Q15,Sí,Sí,Brasil,Probablemente sí,Argentina,Vinícius Júnior; Harry Kane,Premios y sorteos,Tarjetas coleccionables,No,Edición España
363,2026-03-18,10:55:43,18 - 24 años,Femenino,Guatemala,Santa Catarina Pinula,Empleado privado,3 a 5 veces por semana,Tienda de barrio,Amigos,Menos de Q25,Gol Nachos Supreme,Salado Tradicional,Familiar,Q10 - Q15,Sí,Sí,Francia,Probablemente no,Argentina,Federico Valverde; Lionel Messi,Premios y sorteos,2x1,Sí,Edición España
364,2026-01-20,07:59:54,18 - 24 años,Masculino,Guatemala,Villa Nueva,Empleado privado,1 a 2 veces por semana,Supermercado,Familia,Q25 - Q50,Fan Chips Jalapeño; Mundialitos Queso Picante,Jalapeño,Individual,Q10 - Q15,Sí,Sí,Alemania,Definitivamente no,Argentina,Julián Álvarez; Lionel Messi; Vinícius Júnior,Un jugador famoso,Sorteo de camisetas,Sí,Edición Mundial FIFA 2026
365,2026-03-01,18:45:25,18 - 24 años,Masculino,Petén,San Benito,Empresario,3 a 5 veces por semana,Aplicación de delivery,Amigos,Q51 - Q100,ChocoKick Bites; Energy Crunch Protein; Caramel Goal Popcorn,Salado Tradicional,Tamaño fiesta o reunión,Más de Q30,No,No,Czechia,Tal vez,Argentina,Federico Valverde,Un jugador famoso,Producto gratis,Sí,Edición con jugadores famosos
366,2026-03-26,16:36:27,25 - 34 años,Femenino,Guatemala,Villa Nueva,Ama de casa,3 a 5 veces por semana,Tienda de barrio,Solo,Menos de Q25,FutbolMix; CrunchMax BBQ,Queso,Familiar,Q10 - Q15,Sí,Sí,España,Definitivamente sí,Alemania,Kylian Mbappé; Lionel Messi; Alphonso Davies,Una selección nacional,Descuento directo,Sí,Edición España
367,2026-02-28,15:16:12,35 - 44 años,Masculino,Escuintla,Escuintla,Empleado privado,3 a 5 veces por semana,Supermercado,Familia,Q51 - Q100,Fan Chips Jalapeño; Gol Nachos Supreme; Victory Pretzels, JALAPEÑO ,Tamaño fiesta o reunión,Q16 - Q20,Sí,Sí,España,Definitivamente no,Brasil,Christian Pulisic; Cristiano Ronaldo; Rodri,Un jugador famoso,Descuento directo,Sí,Edición Brasil
368,2026-02-17,12:08:52,35 - 44 años,Masculino,Escuintla,Escuintla,Empleado privado,3 a 5 veces por semana,Supermercado,Amigos,Q25 - Q50,FutbolMix,Picante Chapín,Para compartir entre 2 personas,Q16 - Q20,No,Sí,Argentina,Definitivamente sí,Colombia,Kylian Mbappé,Historias de aficionados,Descuento directo,Sí,Edición con tarjetas coleccionables
369,2026-04-26,14:12:47,25 - 34 años,Femenino,Guatemala,Guatemala,Ama de casa,Todos los días,Supermercado,Familia,Q51 - Q100,Energy Crunch Protein,Barbacoa,Familiar,Menos de Q10,Sí,No,Alemania,Definitivamente sí,España,Cristiano Ronaldo; Vinícius Júnior; Neymar Jr.,Una selección nacional,Sorteo de camisetas,Sí,Edición Francia
